file	orient	S	D	fFWDEND	fFWDSTART	fREVEND	fREVSTART	sFWDEND	sFWDSTART	sREVEND	sREVSTART
5906.lswap-9f3672f6c430.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-9f3672f6c430.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-9f885c2a5e20.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-9f885c2a5e20.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-a28e203d65dc.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-a28e203d65dc.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-a7d2db45842b.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-a7d2db45842b.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-aa52880fc9e0.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-aa52880fc9e0.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-aea48ef05d9e.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-aea48ef05d9e.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-af54b6f406a6.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-af54b6f406a6.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-afd973e1a915.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-afd973e1a915.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-b12d38608f09.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-b12d38608f09.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-b55f23a2f470.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-b55f23a2f470.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-be4759bc731a.txt	F	844	17	1	1	1	1	0	0	0	0
